Area Code,Date,Market,Market Size,Product,Product Line,Product Type,State,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Margin,Marketing,Profit,Sales,Total Expenses,Order Date,Customer Name,City,Promo Code,Full Product
217,40909,Central,Major Market,Colombian,Beans,Coffee,Illinois,Regular,150,210,130,360,144,862,201,47,111,345,90,2012-01-01,MARY ann,sydney,,Beans - Colombian
309,40909,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Illinois,Decaf,100,140,100,240,95,608,139,30,87,234,52,2012-01-01,roBERT  SMITH,new york,SAVE10,Beans - Decaf Irish Cream
309,40909,Central,Major Market,Caffe Mocha,Beans,Espresso,Illinois,Regular,270,370,260,640,234,1310,312,77,203,546,109,2012-01-01, alice ,DELHI,,Beans - Caffe Mocha
630,40909,Central,Major Market,Decaf Espresso,Beans,Espresso,Illinois,Decaf,260,270,180,530,228,1459,228,63,140,456,88,2012-01-01,,LoNDoN,,Beans - Decaf Espresso
312,40909,Central,Major Market,Chamomile,Leaves,Herbal Tea,Illinois,Decaf,70,120,100,190,89,777,130,24,95,219,35,2012-01-01,  john   doe ,sydney,,Leaves - Chamomile
630,40909,Central,Major Market,Lemon,Leaves,Herbal Tea,Illinois,Decaf,70,90,60,160,83,623,107,27,68,190,39,2012-01-01,MARY ann,new york,,Leaves - Lemon
773,40909,Central,Major Market,Mint,Leaves,Herbal Tea,Illinois,Decaf,80,120,100,200,95,821,139,26,101,234,38,2012-01-01,roBERT  SMITH,DELHI,,Leaves - Mint
217,40909,Central,Major Market,Darjeeling,Leaves,Tea,Illinois,Regular,40,70,50,110,54,456,80,15,53,134,27,2012-01-01, alice ,LoNDoN,SAVE10,Leaves - Darjeeling
708,40909,Central,Major Market,Earl Grey,Leaves,Tea,Illinois,Regular,60,90,40,150,72,558,108,23,54,180,54,2012-01-01,,sydney,,Leaves - Earl Grey
319,40909,Central,Small Market,Amaretto,Beans,Coffee,Iowa,Regular,10,30,20,40,18,821,27,5,11,45,16,2012-01-01,  john   doe ,new york,,Beans - Amaretto
641,40909,Central,Small Market,Colombian,Beans,Coffee,Iowa,Regular,20,40,20,60,28,965,34,8,5,62,29,2012-01-01,MARY ann,DELHI,,Beans - Colombian
712,40909,Central,Small Market,Decaf Irish Cream,Beans,Coffee,Iowa,Decaf,20,30,20,50,23,623,31,7,12,54,19,2012-01-01,roBERT  SMITH,LoNDoN,,Beans - Decaf Irish Cream
563,40909,Central,Small Market,Caffe Mocha,Beans,Espresso,Iowa,Regular,10,40,30,50,17,777,26,4,11,43,15,2012-01-01, alice ,sydney,,Beans - Caffe Mocha
563,40909,Central,Small Market,Decaf Espresso,Beans,Espresso,Iowa,Decaf,10,40,30,50,17,777,26,4,10,43,16,2012-01-01,,new york,SAVE10,Beans - Decaf Espresso
641,40909,Central,Small Market,Chamomile,Leaves,Herbal Tea,Iowa,Decaf,200,280,200,480,234,1310,312,77,202,546,110,2012-01-01,  john   doe ,DELHI,,Leaves - Chamomile
563,40909,Central,Small Market,Lemon,Leaves,Herbal Tea,Iowa,Decaf,80,120,90,200,95,608,139,30,86,234,53,2012-01-01,MARY ann,LoNDoN,,Leaves - Lemon
712,40909,Central,Small Market,Darjeeling,Leaves,Tea,Iowa,Regular,190,210,140,400,228,1459,228,63,141,456,87,2012-01-01,roBERT  SMITH,sydney,,Leaves - Darjeeling
319,40909,Central,Small Market,Earl Grey,Leaves,Tea,Iowa,Regular,210,270,160,480,245,1419,301,93,175,546,126,2012-01-01, alice ,new york,,Leaves - Earl Grey
636,40909,Central,Small Market,Colombian,Beans,Coffee,Missouri,Regular,90,100,40,190,85,494,105,32,39,190,66,2012-01-01,,DELHI,,Beans - Colombian
573,40909,Central,Small Market,Decaf Irish Cream,Beans,Coffee,Missouri,Decaf,80,90,50,170,78,965,92,24,47,170,45,2012-01-01,  john   doe ,LoNDoN,SAVE10,Beans - Decaf Irish Cream
417,40909,Central,Small Market,Green Tea,Leaves,Tea,Missouri,Regular,20,40,0,60,34,197,42,12,-4,76,46,2012-01-01,MARY ann,sydney,,Leaves - Green Tea
573,40909,Central,Small Market,Caffe Mocha,Beans,Espresso,Missouri,Regular,50,90,70,140,50,821,73,14,48,123,25,2012-01-01,roBERT  SMITH,new york,,Beans - Caffe Mocha
660,40909,Central,Small Market,Decaf Espresso,Beans,Espresso,Missouri,Decaf,50,80,60,130,46,777,68,12,45,114,23,2012-01-01, alice ,DELHI,,Beans - Decaf Espresso
573,40909,Central,Small Market,Chamomile,Leaves,Herbal Tea,Missouri,Decaf,30,40,0,70,37,261,53,34,-11,90,64,2012-01-01,,LoNDoN,,Leaves - Chamomile
314,40909,Central,Small Market,Lemon,Leaves,Herbal Tea,Missouri,Decaf,70,10,-20,80,88,525,11,27,-39,99,50,2012-01-01,  john   doe ,sydney,,Leaves - Lemon
314,40909,Central,Small Market,Darjeeling,Leaves,Tea,Missouri,Regular,30,40,10,70,35,196,47,11,9,82,38,2012-01-01,MARY ann,new york,SAVE10,Leaves - Darjeeling
573,40909,Central,Small Market,Earl Grey,Leaves,Tea,Missouri,Regular,20,30,-10,50,29,169,36,11,-9,65,45,2012-01-01,roBERT  SMITH,DELHI,,Leaves - Earl Grey
740,40909,Central,Major Market,Amaretto,Beans,Coffee,Ohio,Regular,60,80,50,140,60,336,80,19,34,140,46,2012-01-01, alice ,LoNDoN,,Beans - Amaretto
614,40909,Central,Major Market,Colombian,Beans,Coffee,Ohio,Regular,60,80,50,140,57,364,83,18,42,140,41,2012-01-01,,sydney,,Beans - Colombian
614,40909,Central,Major Market,Decaf Irish Cream,Beans,Coffee,Ohio,Decaf,60,90,20,150,63,435,87,57,0,150,87,2012-01-01,  john   doe ,new york,,Beans - Decaf Irish Cream
216,40909,Central,Major Market,Earl Grey,Leaves,Tea,Ohio,Regular,70,100,60,170,84,500,116,26,67,200,49,2012-01-01,MARY ann,DELHI,,Leaves - Earl Grey
614,40909,Central,Major Market,Decaf Espresso,Beans,Espresso,Ohio,Decaf,60,90,40,150,58,338,72,22,16,130,56,2012-01-01,roBERT  SMITH,LoNDoN,SAVE10,Beans - Decaf Espresso
614,40909,Central,Major Market,Caffe Mocha,Beans,Espresso,Ohio,Regular,190,210,140,400,170,1091,171,47,99,341,72,2012-01-01, alice ,sydney,,Beans - Caffe Mocha
937,40909,Central,Major Market,Chamomile,Leaves,Herbal Tea,Ohio,Decaf,20,50,50,70,32,456,48,8,29,80,19,2012-01-01,,new york,,Leaves - Chamomile
740,40909,Central,Major Market,Lemon,Leaves,Herbal Tea,Ohio,Decaf,20,50,50,70,32,821,48,8,29,80,19,2012-01-01,  john   doe ,DELHI,,Leaves - Lemon
567,40909,Central,Major Market,Darjeeling,Leaves,Tea,Ohio,Regular,70,110,60,180,84,651,126,27,68,210,58,2012-01-01,MARY ann,LoNDoN,,Leaves - Darjeeling
262,40909,Central,Small Market,Amaretto,Beans,Coffee,Wisconsin,Regular,50,70,30,120,54,312,66,20,13,120,53,2012-01-01,roBERT  SMITH,sydney,,Beans - Amaretto
262,40909,Central,Small Market,Colombian,Beans,Coffee,Wisconsin,Regular,80,110,20,190,79,551,111,72,9,190,102,2012-01-01, alice ,new york,SAVE10,Beans - Colombian
414,40909,Central,Small Market,Decaf Irish Cream,Beans,Coffee,Wisconsin,Decaf,80,100,60,180,77,432,103,25,51,180,52,2012-01-01,,DELHI,,Beans - Decaf Irish Cream
262,40909,Central,Small Market,Earl Grey,Leaves,Tea,Wisconsin,Regular,60,90,10,150,75,522,105,68,7,180,98,2012-01-01,  john   doe ,LoNDoN,,Leaves - Earl Grey
262,40909,Central,Small Market,Decaf Espresso,Beans,Espresso,Wisconsin,Decaf,50,70,50,120,48,623,62,15,34,110,28,2012-01-01,MARY ann,sydney,,Beans - Decaf Espresso
414,40909,Central,Small Market,Caffe Mocha,Beans,Espresso,Wisconsin,Regular,80,90,50,170,69,965,81,21,38,150,43,2012-01-01,roBERT  SMITH,new york,,Beans - Caffe Mocha
715,40909,Central,Small Market,Chamomile,Leaves,Herbal Tea,Wisconsin,Decaf,50,100,80,150,67,400,113,20,70,180,43,2012-01-01, alice ,DELHI,,Leaves - Chamomile
715,40909,Central,Small Market,Lemon,Leaves,Herbal Tea,Wisconsin,Decaf,20,50,50,70,33,777,48,9,28,81,20,2012-01-01,,LoNDoN,SAVE10,Leaves - Lemon
608,40909,Central,Small Market,Darjeeling,Leaves,Tea,Wisconsin,Regular,50,80,50,130,61,390,89,19,47,150,42,2012-01-01,  john   doe ,sydney,,Leaves - Darjeeling
475,40909,East,Small Market,Darjeeling,Leaves,Tea,Connecticut,Regular,50,80,60,130,50,821,73,14,47,123,26,2012-01-01,MARY ann,new york,,Leaves - Darjeeling
475,40909,East,Small Market,Green Tea,Leaves,Tea,Connecticut,Regular,40,60,40,100,38,777,56,10,35,94,21,2012-01-01,roBERT  SMITH,DELHI,,Leaves - Green Tea
475,40909,East,Small Market,Decaf Espresso,Beans,Espresso,Connecticut,Decaf,50,70,40,120,55,312,75,18,30,130,45,2012-01-01, alice ,LoNDoN,,Beans - Decaf Espresso
860,40909,East,Small Market,Caffe Mocha,Beans,Espresso,Connecticut,Regular,70,100,20,170,75,522,105,68,7,180,98,2012-01-01,,sydney,,Beans - Caffe Mocha
475,40909,East,Small Market,Colombian,Beans,Coffee,Connecticut,Regular,110,180,130,290,124,961,186,40,115,310,71,2012-01-01,  john   doe ,new york,SAVE10,Beans - Colombian
860,40909,East,Small Market,Lemon,Leaves,Herbal Tea,Connecticut,Decaf,60,80,40,140,85,494,105,32,40,190,65,2012-01-01,MARY ann,DELHI,,Leaves - Lemon
475,40909,East,Small Market,Mint,Leaves,Herbal Tea,Connecticut,Decaf,50,80,50,130,78,965,92,24,47,170,45,2012-01-01,roBERT  SMITH,LoNDoN,,Leaves - Mint
954,40909,East,Major Market,Darjeeling,Leaves,Tea,Florida,Regular,30,50,40,80,32,821,48,8,28,80,20,2012-01-01, alice ,sydney,,Leaves - Darjeeling
754,40909,East,Major Market,Green Tea,Leaves,Tea,Florida,Regular,30,50,40,80,33,777,48,9,28,81,20,2012-01-01,,new york,,Leaves - Green Tea
754,40909,East,Major Market,Decaf Espresso,Beans,Espresso,Florida,Decaf,70,100,60,170,77,432,103,25,50,180,53,2012-01-01,  john   doe ,DELHI,,Beans - Decaf Espresso
239,40909,East,Major Market,Caffe Mocha,Beans,Espresso,Florida,Regular,70,110,30,180,79,551,111,72,9,190,102,2012-01-01,MARY ann,LoNDoN,SAVE10,Beans - Caffe Mocha
754,40909,East,Major Market,Decaf Irish Cream,Beans,Coffee,Florida,Decaf,80,110,70,190,84,500,116,26,67,200,49,2012-01-01,roBERT  SMITH,sydney,,Beans - Decaf Irish Cream
954,40909,East,Major Market,Colombian,Beans,Coffee,Florida,Regular,80,110,70,190,84,651,126,27,68,210,58,2012-01-01, alice ,new york,,Beans - Colombian
863,40909,East,Major Market,Chamomile,Leaves,Herbal Tea,Florida,Decaf,30,50,30,80,48,623,62,15,34,110,28,2012-01-01,,DELHI,,Leaves - Chamomile
239,40909,East,Major Market,Lemon,Leaves,Herbal Tea,Florida,Decaf,40,50,20,90,54,312,66,20,13,120,53,2012-01-01,  john   doe ,LoNDoN,,Leaves - Lemon
772,40909,East,Major Market,Mint,Leaves,Herbal Tea,Florida,Decaf,50,60,40,110,69,965,81,21,39,150,42,2012-01-01,MARY ann,sydney,,Leaves - Mint
508,40909,East,Major Market,Darjeeling,Leaves,Tea,Massachusetts,Regular,30,50,40,80,32,821,48,8,29,80,19,2012-01-01,roBERT  SMITH,new york,SAVE10,Leaves - Darjeeling
781,40909,East,Major Market,Green Tea,Leaves,Tea,Massachusetts,Regular,30,50,40,80,32,456,48,8,29,80,19,2012-01-01, alice ,DELHI,,Leaves - Green Tea
978,40909,East,Major Market,Regular Espresso,Beans,Espresso,Massachusetts,Regular,160,170,110,330,170,1091,171,47,100,341,71,2012-01-01,,LoNDoN,,Beans - Regular Espresso
781,40909,East,Major Market,Caffe Mocha,Beans,Espresso,Massachusetts,Regular,60,60,-10,120,63,435,63,57,-23,126,86,2012-01-01,  john   doe ,sydney,,Beans - Caffe Mocha
413,40909,East,Major Market,Colombian,Beans,Coffee,Massachusetts,Regular,60,400,360,460,72,558,422,23,367,494,55,2012-01-01,MARY ann,new york,,Beans - Colombian
339,40909,East,Major Market,Lemon,Leaves,Herbal Tea,Massachusetts,Decaf,40,60,30,100,58,338,72,22,17,130,55,2012-01-01,roBERT  SMITH,DELHI,,Leaves - Lemon
603,40909,East,Small Market,Darjeeling,Leaves,Tea,New Hampshire,Regular,10,30,20,40,18,821,27,5,10,45,17,2012-01-01, alice ,LoNDoN,SAVE10,Leaves - Darjeeling
603,40909,East,Small Market,Green Tea,Leaves,Tea,New Hampshire,Regular,10,30,20,40,17,777,26,4,11,43,15,2012-01-01,,sydney,,Leaves - Green Tea
603,40909,East,Small Market,Regular Espresso,Beans,Espresso,New Hampshire,Regular,20,40,0,60,29,169,36,11,-8,65,44,2012-01-01,  john   doe ,new york,,Beans - Regular Espresso
603,40909,East,Small Market,Caffe Mocha,Beans,Espresso,New Hampshire,Regular,30,50,0,80,37,261,53,34,-10,90,63,2012-01-01,MARY ann,DELHI,,Beans - Caffe Mocha
603,40909,East,Small Market,Amaretto,Beans,Coffee,New Hampshire,Regular,30,50,30,80,38,241,55,12,20,93,35,2012-01-01,roBERT  SMITH,LoNDoN,,Beans - Amaretto
603,40909,East,Small Market,Colombian,Beans,Coffee,New Hampshire,Regular,40,70,40,110,48,372,72,15,25,120,47,2012-01-01, alice ,sydney,,Beans - Colombian
603,40909,East,Small Market,Lemon,Leaves,Herbal Tea,New Hampshire,Decaf,20,30,0,50,34,197,42,12,-4,76,46,2012-01-01,,new york,SAVE10,Leaves - Lemon
347,40909,East,Major Market,Darjeeling,Leaves,Tea,New York,Regular,100,150,120,250,95,821,139,26,101,234,38,2012-01-01,  john   doe ,DELHI,,Leaves - Darjeeling
646,40909,East,Major Market,Earl Grey,Leaves,Tea,New York,Regular,90,140,110,230,89,777,130,24,94,219,36,2012-01-01,MARY ann,LoNDoN,,Leaves - Earl Grey
347,40909,East,Major Market,Green Tea,Leaves,Tea,New York,Regular,50,90,70,140,54,456,80,15,54,134,26,2012-01-01,roBERT  SMITH,sydney,,Leaves - Green Tea
631,40909,East,Major Market,Regular Espresso,Beans,Espresso,New York,Regular,210,270,200,480,228,1459,262,63,175,490,87,2012-01-01, alice ,new york,,Beans - Regular Espresso
315,40909,East,Major Market,Caffe Mocha,Beans,Espresso,New York,Regular,100,-50,-170,50,105,725,-44,95,-172,61,128,2012-01-01,,DELHI,,Beans - Caffe Mocha
716,40909,East,Major Market,Colombian,Beans,Coffee,New York,Regular,260,380,260,640,271,2101,407,94,262,678,145,2012-01-01,  john   doe ,LoNDoN,SAVE10,Beans - Colombian
607,40909,East,Major Market,Lemon,Leaves,Herbal Tea,New York,Decaf,180,190,100,370,245,1419,238,93,111,483,127,2012-01-01,MARY ann,sydney,,Leaves - Lemon
845,40909,East,Major Market,Mint,Leaves,Herbal Tea,New York,Decaf,150,-10,-70,140,207,965,-27,64,-113,180,86,2012-01-01,roBERT  SMITH,new york,,Leaves - Mint
337,40909,South,Small Market,Caffe Mocha,Beans,Espresso,Louisiana,Regular,50,100,80,150,67,400,113,20,70,180,43,2012-01-01, alice ,DELHI,,Beans - Caffe Mocha
337,40909,South,Small Market,Decaf Espresso,Beans,Espresso,Louisiana,Decaf,50,70,50,120,61,390,89,19,48,150,41,2012-01-01,,LoNDoN,,Beans - Decaf Espresso
337,40909,South,Small Market,Chamomile,Leaves,Herbal Tea,Louisiana,Decaf,40,60,40,100,49,623,63,16,35,112,28,2012-01-01,  john   doe ,sydney,,Leaves - Chamomile
504,40909,South,Small Market,Lemon,Leaves,Herbal Tea,Louisiana,Decaf,80,100,40,180,85,494,105,32,40,190,65,2012-01-01,MARY ann,new york,SAVE10,Leaves - Lemon
504,40909,South,Small Market,Caffe Latte,Beans,Espresso,Louisiana,Regular,60,90,10,150,75,522,105,68,8,180,97,2012-01-01,roBERT  SMITH,DELHI,,Beans - Caffe Latte
225,40909,South,Small Market,Colombian,Beans,Coffee,Louisiana,Regular,40,60,50,100,34,777,51,9,30,85,21,2012-01-01, alice ,LoNDoN,,Beans - Colombian
985,40909,South,Small Market,Decaf Irish Cream,Beans,Coffee,Louisiana,Decaf,40,60,50,100,33,777,48,9,28,81,20,2012-01-01,,sydney,,Beans - Decaf Irish Cream
505,40909,South,Small Market,Caffe Mocha,Beans,Espresso,New Mexico,Regular,30,40,-10,70,37,261,53,34,-10,90,63,2012-01-01,  john   doe ,new york,,Beans - Caffe Mocha
505,40909,South,Small Market,Decaf Espresso,Beans,Espresso,New Mexico,Decaf,30,40,10,70,35,196,47,11,9,82,38,2012-01-01,MARY ann,DELHI,,Beans - Decaf Espresso
505,40909,South,Small Market,Chamomile,Leaves,Herbal Tea,New Mexico,Decaf,10,30,20,40,18,821,27,5,11,45,16,2012-01-01,roBERT  SMITH,LoNDoN,SAVE10,Leaves - Chamomile
505,40909,South,Small Market,Lemon,Leaves,Herbal Tea,New Mexico,Decaf,20,40,20,60,28,965,34,8,4,62,30,2012-01-01, alice ,sydney,,Leaves - Lemon
505,40909,South,Small Market,Caffe Latte,Beans,Espresso,New Mexico,Regular,20,30,0,50,29,169,36,11,-8,65,44,2012-01-01,,new york,,Beans - Caffe Latte
505,40909,South,Small Market,Colombian,Beans,Coffee,New Mexico,Regular,60,90,50,150,48,372,72,15,26,120,46,2012-01-01,  john   doe ,DELHI,,Beans - Colombian
505,40909,South,Small Market,Decaf Irish Cream,Beans,Coffee,New Mexico,Decaf,110,10,-30,120,88,525,11,27,-39,99,50,2012-01-01,MARY ann,LoNDoN,,Beans - Decaf Irish Cream
405,40909,South,Small Market,Caffe Mocha,Beans,Espresso,Oklahoma,Regular,20,40,40,60,32,456,48,8,28,80,20,2012-01-01,roBERT  SMITH,sydney,,Beans - Caffe Mocha
405,40909,South,Small Market,Decaf Espresso,Beans,Espresso,Oklahoma,Decaf,70,110,70,180,84,651,126,27,67,210,59,2012-01-01, alice ,new york,SAVE10,Beans - Decaf Espresso
918,40909,South,Small Market,Chamomile,Leaves,Herbal Tea,Oklahoma,Decaf,50,60,20,110,54,312,66,20,13,120,53,2012-01-01,,DELHI,,Leaves - Chamomile
580,40909,South,Small Market,Lemon,Leaves,Herbal Tea,Oklahoma,Decaf,70,110,30,180,79,551,111,72,10,190,101,2012-01-01,  john   doe ,LoNDoN,,Leaves - Lemon
405,40909,South,Small Market,Caffe Latte,Beans,Espresso,Oklahoma,Regular,70,100,70,170,84,500,116,26,66,200,50,2012-01-01,MARY ann,sydney,,Beans - Caffe Latte
580,40909,South,Small Market,Colombian,Beans,Coffee,Oklahoma,Regular,50,70,50,120,44,623,56,14,29,100,27,2012-01-01,roBERT  SMITH,new york,,Beans - Colombian
580,40909,South,Small Market,Decaf Irish Cream,Beans,Coffee,Oklahoma,Decaf,40,60,50,100,32,821,48,8,28,80,20,2012-01-01, alice ,DELHI,,Beans - Decaf Irish Cream
325,40909,South,Major Market,Caffe Mocha,Beans,Espresso,Texas,Regular,70,110,90,180,89,777,130,24,95,219,35,2012-01-01,,LoNDoN,SAVE10,Beans - Caffe Mocha
956,40909,South,Major Market,Decaf Espresso,Beans,Espresso,Texas,Decaf,40,70,60,110,54,456,80,15,54,134,26,2012-01-01,  john   doe ,sydney,,Beans - Decaf Espresso
281,40909,South,Major Market,Chamomile,Leaves,Herbal Tea,Texas,Decaf,50,80,50,130,60,336,80,19,33,140,47,2012-01-01,MARY ann,new york,,Leaves - Chamomile
254,40909,South,Major Market,Lemon,Leaves,Herbal Tea,Texas,Decaf,50,80,50,130,57,364,83,18,42,140,41,2012-01-01,roBERT  SMITH,DELHI,,Leaves - Lemon
830,40909,South,Major Market,Caffe Latte,Beans,Espresso,Texas,Regular,60,90,50,150,72,558,108,23,53,180,55,2012-01-01, alice ,LoNDoN,,Beans - Caffe Latte
409,40909,South,Major Market,Colombian,Beans,Coffee,Texas,Regular,260,300,220,560,207,965,245,64,159,452,86,2012-01-01,,sydney,,Beans - Colombian
325,40909,South,Major Market,Decaf Irish Cream,Beans,Coffee,Texas,Decaf,100,130,100,230,83,623,107,27,68,190,39,2012-01-01,  john   doe ,new york,SAVE10,Beans - Decaf Irish Cream
435,40909,West,Small Market,Caffe Latte,Beans,Espresso,Utah,Regular,40,60,40,100,46,777,68,12,44,114,24,2012-01-01,MARY ann,DELHI,,Beans - Caffe Latte
435,40909,West,Small Market,Caffe Mocha,Beans,Espresso,Utah,Regular,40,60,40,100,49,623,63,16,34,112,29,2012-01-01,roBERT  SMITH,LoNDoN,,Beans - Caffe Mocha
435,40909,West,Small Market,Decaf Espresso,Beans,Espresso,Utah,Decaf,40,70,50,110,50,821,73,14,47,123,26,2012-01-01, alice ,sydney,,Beans - Decaf Espresso
801,40909,West,Small Market,Chamomile,Leaves,Herbal Tea,Utah,Decaf,30,50,30,80,38,241,55,12,21,93,34,2012-01-01,,new york,,Leaves - Chamomile
435,40909,West,Small Market,Lemon,Leaves,Herbal Tea,Utah,Decaf,40,60,30,100,48,372,72,15,25,120,47,2012-01-01,  john   doe ,DELHI,,Leaves - Lemon
435,40909,West,Small Market,Mint,Leaves,Herbal Tea,Utah,Decaf,70,10,-30,80,88,525,11,27,-40,99,51,2012-01-01,MARY ann,LoNDoN,SAVE10,Leaves - Mint
435,40909,West,Small Market,Darjeeling,Leaves,Tea,Utah,Regular,20,40,0,60,37,261,53,34,-10,90,63,2012-01-01,roBERT  SMITH,sydney,,Leaves - Darjeeling
435,40909,West,Small Market,Earl Grey,Leaves,Tea,Utah,Regular,20,30,10,50,35,196,47,11,9,82,38,2012-01-01, alice ,new york,,Leaves - Earl Grey
435,40909,West,Small Market,Green Tea,Leaves,Tea,Utah,Regular,10,30,10,40,29,169,36,11,-9,65,45,2012-01-01,,DELHI,,Leaves - Green Tea
801,40909,West,Small Market,Amaretto,Beans,Coffee,Utah,Regular,90,120,80,210,78,965,92,24,47,170,45,2012-01-01,  john   doe ,LoNDoN,,Beans - Amaretto
435,40909,West,Small Market,Colombian,Beans,Coffee,Utah,Regular,60,100,70,160,55,312,75,18,30,130,45,2012-01-01,MARY ann,sydney,,Beans - Colombian
801,40909,West,Small Market,Decaf Irish Cream,Beans,Coffee,Utah,Decaf,100,130,70,230,85,494,105,32,39,190,66,2012-01-01,roBERT  SMITH,new york,SAVE10,Beans - Decaf Irish Cream
661,40909,West,Major Market,Caffe Latte,Beans,Espresso,California,Regular,210,220,150,430,228,1459,228,63,140,456,88,2012-01-01, alice ,DELHI,,Beans - Caffe Latte
818,40909,West,Major Market,Caffe Mocha,Beans,Espresso,California,Regular,100,140,20,240,105,725,145,95,17,250,128,2012-01-01,,LoNDoN,,Beans - Caffe Mocha
213,40909,West,Major Market,Decaf Espresso,Beans,Espresso,California,Decaf,220,300,200,520,234,1310,312,77,203,546,109,2012-01-01,  john   doe ,sydney,,Beans - Decaf Espresso
510,40909,West,Major Market,Chamomile,Leaves,Herbal Tea,California,Decaf,80,120,100,200,95,821,139,26,102,234,37,2012-01-01,MARY ann,new york,,Leaves - Chamomile
310,40909,West,Major Market,Lemon,Leaves,Herbal Tea,California,Decaf,170,220,160,390,207,965,245,64,160,452,85,2012-01-01,roBERT  SMITH,DELHI,,Leaves - Lemon
707,40909,West,Major Market,Mint,Leaves,Herbal Tea,California,Decaf,70,90,60,160,83,623,107,27,67,190,40,2012-01-01, alice ,LoNDoN,SAVE10,Leaves - Mint
619,40909,West,Major Market,Darjeeling,Leaves,Tea,California,Regular,50,90,80,140,89,777,130,24,94,219,36,2012-01-01,,sydney,,Leaves - Darjeeling
650,40909,West,Major Market,Earl Grey,Leaves,Tea,California,Regular,30,60,60,90,54,456,80,15,54,134,26,2012-01-01,  john   doe ,new york,,Leaves - Earl Grey
760,40909,West,Major Market,Green Tea,Leaves,Tea,California,Regular,40,80,50,120,72,558,108,23,54,180,54,2012-01-01,MARY ann,DELHI,,Leaves - Green Tea
916,40909,West,Major Market,Amaretto,Beans,Coffee,California,Regular,110,70,30,180,95,608,50,30,-2,145,52,2012-01-01,roBERT  SMITH,LoNDoN,,Beans - Amaretto
559,40909,West,Major Market,Colombian,Beans,Coffee,California,Regular,340,500,370,840,271,2101,407,94,262,678,145,2012-01-01, alice ,sydney,,Beans - Colombian
650,40909,West,Major Market,Decaf Irish Cream,Beans,Coffee,California,Decaf,180,-40,-120,140,144,862,-26,47,-117,118,91,2012-01-01,,new york,SAVE10,Beans - Decaf Irish Cream
775,40909,West,Small Market,Caffe Latte,Beans,Espresso,Nevada,Regular,10,30,20,40,17,777,26,4,11,43,15,2012-01-01,  john   doe ,DELHI,,Beans - Caffe Latte
702,40909,West,Small Market,Caffe Mocha,Beans,Espresso,Nevada,Regular,10,30,20,40,18,821,27,5,10,45,17,2012-01-01,MARY ann,LoNDoN,,Beans - Caffe Mocha
775,40909,West,Small Market,Decaf Espresso,Beans,Espresso,Nevada,Decaf,10,30,20,40,17,777,26,4,11,43,15,2012-01-01,roBERT  SMITH,sydney,,Beans - Decaf Espresso
775,40909,West,Small Market,Decaf Irish Cream,Beans,Coffee,Nevada,Decaf,30,40,20,70,28,965,34,8,4,62,30,2012-01-01, alice ,new york,,Beans - Decaf Irish Cream
